STATION_CODE,YEAR,LATITUDE,LONGITUDE,ELEVATION,STATION_NAME,TMAX,PRCP,TMIN,SNWD,SNOW
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,294,  0,233,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,283,  0,233,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,283,  0,233,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278, 18,217,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,283,  0,239,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,283,  0,233,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289,  0,228,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,283,  0,239,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289,  0,222,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289,  0,222,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289, 18,244,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,294, 10,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289,  0,233,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289,  0,239,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,294,  0,239,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289,  0,244,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289,  0,222,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289,  8,217,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289, 10,228,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289,  0,228,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289,107,217,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,306, 53,222,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,294,  0,233,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,272,361,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278,  0,211,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289,  5,222,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289,  0,222,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,,,,,
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD, 283,   8, 250,   0,   0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,283,  3,244,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278,292,233,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,272, 33,228,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278,  8,189,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,283,  0,233,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,278,  5,233,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,294, 23,233,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,294,  0,233,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,294,  0,244,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289,  0,244,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,294,  0,250,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,294,  0,239,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,294,  0,239,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,289,  0,233,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,294,  0,239,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,294, 23,233,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,294,  5,244,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,294,  0,256,  0,  0
ACW00011604,1949,17.1167,-61.7833,10.1,ST JOHNS COOLIDGE FLD,294, 41,244,  0,  0
